26年春季考试招生计划及分数参考,,
院校名称,专业名称,最低分
云南国防工业职业技术学院,大数据与审计,483
云南国防工业职业技术学院,旅游管理,486
云南国防工业职业技术学院,酒店管理与数字化运营。,480
云南国防工业职业技术学院,学前教育,488
云南国防工业职业技术学院,早期教育,483
云南国防工业职业技术学院,建筑工程技术,496
云南国防工业职业技术学院,工程造价,482
云南国防工业职业技术学院,应用化工技术,484
云南国防工业职业技术学院,化工智能制造技术,479
云南国防工业职业技术学院,药品生产技术,470
云南国防工业职业技术学院,社会体育,479
云南国防工业职业技术学院,休闲体育,476
云南国防工业职业技术学院,现代通信技术,489
云南国防工业职业技术学院,智能光电技术应用,503
云南国防工业职业技术学院,智能产品开发与应用,477
云南国防工业职业技术学院,眼视光技术,489
云南国防工业职业技术学院,康复治疗技术,495
红河卫生职业学院,护理,502
红河卫生职业学院,护理(高本贯通),541
红河卫生职业学院,老年保健与管理,497
红河卫生职业学院,临床医学,562
红河卫生职业学院,预防医学,557
红河卫生职业学院,康复治疗技术,506
红河卫生职业学院,医学检验技术,509
红河卫生职业学院,眼视光技术,501
红河卫生职业学院,药学,495
红河卫生职业学院,中药学,499
红河卫生职业学院,药品经营与管理,485
红河卫生职业学院,药品生产技术,486
红河卫生职业学院,中医学,496
红河卫生职业学院,针灸推拿,482
红河卫生职业学院,医学美容技术,497
红河卫生职业学院,中医养生保健,490
红河卫生职业学院,口腔医学,546
红河卫生职业学院,口腔医学技术,507
红河卫生职业学院,口腔卫生保健,500
红河卫生职业学院,健康大数据管理与服务,477
红河卫生职业学院,体育保健与康复,479
昭通卫生职业学院,助产,485
昭通卫生职业学院,医学美容技术,486
昭通卫生职业学院,婴幼儿托育服务与管理,493
昭通卫生职业学院,老年保健与管理,486
昭通卫生职业学院,医学检验技术,495
昭通卫生职业学院,康复治疗技术,497
昭通卫生职业学院,医学影像技术,499
昭通卫生职业学院,眼视光技术,491
昭通卫生职业学院,口腔医学技术,489
昭通卫生职业学院,公共卫生管理,477
昭通卫生职业学院,中医养生保健,483
昭通卫生职业学院,中医康复技术,485
昭通卫生职业学院,药学,495
昭通卫生职业学院,中药学,490
昭通卫生职业学院,药品质量与安全,472
昭通卫生职业学院,药品经营与管理,476
昭通卫生职业学院,预防医学,549
保山中医药高等专科学校,中医学,535
保山中医药高等专科学校,针灸推拿,516
保山中医药高等专科学校,中医骨伤,528
保山中医药高等专科学校,中医养生保健,502
保山中医药高等专科学校,中医康复技术,506
保山中医药高等专科学校,中药学,511
保山中医药高等专科学校,药学,407
保山中医药高等专科学校,药品生产技术,498
保山中医药高等专科学校,临床医学,547
保山中医药高等专科学校,口腔医学技术,514
保山中医药高等专科学校,康复治疗技术,513
保山中医药高等专科学校,医学影像技术,511
保山中医药高等专科学校,护理,503
保山中医药高等专科学校,老年保健与管理,497
保山中医药高等专科学校,助产,506
保山中医药高等专科学校,医学美容技术,514
保山中医药高等专科学校,医学检验技术,509
保山中医药高等专科学校,健康管理,492
保山中医药高等专科学校,医学营养,491
保山中医药高等专科学校,公共卫生管理,502
保山中医药高等专科学校,预防医学,529
保山中医药高等专科学校,体育保健与康复,499
昆明幼儿师范高等专科学校,学前教育,521
昆明幼儿师范高等专科学校,早期教育,517
昆明幼儿师范高等专科学校,音乐教育,506
昆明幼儿师范高等专科学校,美术教育,504
昆明幼儿师范高等专科学校,体育教育,495
昆明幼儿师范高等专科学校,婴幼儿托育服务与管理,506
昆明幼儿师范高等专科学校,舞蹈表演,495
昆明幼儿师范高等专科学校,艺术设计,493
昆明幼儿师范高等专科学校,数字媒体艺术设计,486
昆明幼儿师范高等专科学校,智慧健康养老服务与管理,476
昆明幼儿师范高等专科学校,健康管理,481
昆明幼儿师范高等专科学校,人力资源管理,471
昆明幼儿师范高等专科学校,现代物流管理,483
昆明幼儿师范高等专科学校,大数据与财务管理,495
昆明幼儿师范高等专科学校,电子商务,487
昆明幼儿师范高等专科学校,商务数据分析与应用,469
昆明幼儿师范高等专科学校,中小企业创业与经营,458
昆明幼儿师范高等专科学校,社会体育,486
昆明幼儿师范高等专科学校,食品营养与健康,488
昆明幼儿师范高等专科学校,老年保健与管理,485
昆明幼儿师范高等专科学校,网络直播与运营,497
昆明幼儿师范高等专科学校,现代家政服务与管理,496
昆明幼儿师范高等专科学校,软件技术,495
昆明幼儿师范高等专科学校,虚拟现实技术应用,492
云南国土资源职业学院,测绘地理信息技术,516
云南国土资源职业学院,地籍测绘与土地管理,517
云南国土资源职业学院,国土空间规划与测绘,509
云南国土资源职业学院,导航与位置服务,501
云南国土资源职业学院,摄影测量与遥感技术,513
云南国土资源职业学院,测绘工程技术,504
云南国土资源职业学院,数控技术,487
云南国土资源职业学院,汽车电子技术,506
云南国土资源职业学院,工业机器人技术,502
云南国土资源职业学院,智能控制技术,498
云南国土资源职业学院,土木工程检测技术,472
云南国土资源职业学院,建筑材料工程技术,476
云南国土资源职业学院,地下与隧道工程技术,509
云南国土资源职业学院,建设工程管理,503
云南国土资源职业学院,建筑装饰工程技术,497
云南国土资源职业学院,数字媒体技术,488
云南国土资源职业学院,全媒体广告策划与营销,476
云南国土资源职业学院,移动互联应用技术,485
云南国土资源职业学院,统计与会计核算,475
云南国土资源职业学院,市场营销,470
云南国土资源职业学院,跨境电子商务,478
云南国土资源职业学院,宝玉石鉴定与加工,484
云南国土资源职业学院,雕刻艺术设计,473
云南国土资源职业学院,首饰设计与工艺,589
云南国土资源职业学院,旅游管理,488
云南国土资源职业学院,酒店管理与数字化运营,487
云南国土资源职业学院,休闲服务与管理,479
云南国土资源职业学院,智慧健康养老服务与管理,483
云南国土资源职业学院,地质调查与矿产普查,506
云南国土资源职业学院,地质灾害调查与防治,508
云南国土资源职业学院,环境工程技术,500
云南国土资源职业学院,生态环境修复技术,504
云南机电职业技术学院,分布式发电与智能微电网技术,511
云南机电职业技术学院,电力系统继电保护技术,514
云南机电职业技术学院,现代物业管理,516
云南机电职业技术学院,材料成型及控制技术,501
云南机电职业技术学院,智能焊接技术,492
云南机电职业技术学院,工业机器人技术,498
云南机电职业技术学院,电气自动化技术,501
云南机电职业技术学院,工业互联网应用,503
云南机电职业技术学院,飞机机载设备装配调试技术,573
云南机电职业技术学院,无人机应用技术,553
云南机电职业技术学院,汽车制造与试验技术,519
云南机电职业技术学院,新能源汽车技术,507
云南机电职业技术学院,智能网联汽车技术,506
云南机电职业技术学院,食品检验检测技术,523
云南机电职业技术学院,粮食工程技术与管理,463
云南机电职业技术学院,动车组检修技术,522
云南机电职业技术学院,飞机机电设备维修,551
云南机电职业技术学院,计算机应用技术,535
云南机电职业技术学院,大数据技术,525
云南机电职业技术学院,人工智能技术应用,533
云南机电职业技术学院,大数据与会计,515
云南机电职业技术学院,电子商务,506
云南机电职业技术学院,现代物流管理,520
云南机电职业技术学院,应用越南语,453
云南水利水电职业学院,机电排灌工程技术,501
云南水利水电职业学院,岩土工程技术,495
云南水利水电职业学院,水文与水资源技术,516
云南水利水电职业学院,水利水电工程技术,528
云南水利水电职业学院,水生态修复技术,514
云南水利水电职业学院,分布式发电与智能微电网技术,523
云南水利水电职业学院,水利水电建筑工程,522
云南水利水电职业学院,水利工程,517
云南水利水电职业学院,智慧水利技术,507
云南水利水电职业学院,水环境智能监测与治理,503
云南水利水电职业学院,工业机器人技术,509
云南水利水电职业学院,输配电工程技术,511
云南水利水电职业学院,水电站运行与智能管理,516
云南水利水电职业学院,供用电技术,525
云南水利水电职业学院,电气自动化技术,513
云南水利水电职业学院,发电厂及电力系统,508
云南水利水电职业学院,电力系统自动化技术,516
云南水利水电职业学院,智能控制技术,495
云南水利水电职业学院,智慧城市管理技术,485
云南水利水电职业学院,建筑钢结构工程技术,473
云南水利水电职业学院,给排水工程技术,498
云南水利水电职业学院,市政工程技术,495
云南水利水电职业学院,建筑工程技术,485
云南水利水电职业学院,道路与桥梁工程技术,492
