2026云南省春季高考招生院校、专业及预测分数,,,,
院校,专业,,,
云南现代职业技术学院,机电一体化技术,,,
云南现代职业技术学院,电气自动化技术,,,
云南现代职业技术学院,作物生产与经营管理,,,
云南现代职业技术学院,药品生产技术,,,
云南现代职业技术学院,药品经营与管理,,,
云南现代职业技术学院,汽车制造与试验技术,,,
云南现代职业技术学院,智能网联汽车技术,,,
云南现代职业技术学院,高速铁路客运服务,,,
云南现代职业技术学院,新能源汽车检测与维修技术,,,
云南现代职业技术学院,民航安全技术管理,,,
云南现代职业技术学院,酒店管理与数字化运营,,,
云南现代职业技术学院,烹饪工艺与营养,,,
云南现代职业技术学院,书画艺术,,,
云南现代职业技术学院,广告艺术设计,,,
云南现代职业技术学院,影视多媒体技术,,,
云南现代职业技术学院,学前教育,,,
云南现代职业技术学院,婴幼儿托育服务与管理,,,
云南现代职业技术学院,护理,,,
云南现代职业技术学院,康复治疗技术,,,
云南现代职业技术学院,消防救援技术,,,
云南现代职业技术学院,建筑工程技术,,,
云南现代职业技术学院,智能建造技术,,,
云南现代职业技术学院,大数据与会计,,,
云南能源职业技术学院,环境地质工程,,,
云南能源职业技术学院,工程测量技术,,,
云南能源职业技术学院,测绘地理信息技术,,,
云南能源职业技术学院,煤矿智能开采技术,,,
云南能源职业技术学院,通风技术与安全管理,,,
云南能源职业技术学院,环境监测技术,,,
云南能源职业技术学院,安全技术与管理,,,
云南能源职业技术学院,建筑工程技术,,,
云南能源职业技术学院,应用化工技术,,,
云南能源职业技术学院,无人机测绘技术,,,
云南能源职业技术学院,新能源装备技术,,,
云南能源职业技术学院,发电厂及电力系统,,,
云南能源职业技术学院,电力系统自动化技术,,,
云南能源职业技术学院,供用电技术,,,
云南能源职业技术学院,风力发电工程技术,,,
云南能源职业技术学院,水电站运行与智能管理,,,
云南能源职业技术学院,机械制造及自动化,,,
云南能源职业技术学院,机电一体化技术,,,
云南能源职业技术学院,工业机器人技术,,,
云南能源职业技术学院,电气自动化技术,,,
云南能源职业技术学院,新能源汽车技术,,,
云南能源职业技术学院,光伏工程技术,,,
云南能源职业技术学院,数控技术,,,
云南能源职业技术学院,食品智能加工技术,,,
云南能源职业技术学院,餐饮智能管理,,,
云南能源职业技术学院,烹饪工艺与营养,,,
云南能源职业技术学院,智慧健康养老服务与管理,,,
云南能源职业技术学院,大数据与财务管理,,,
云南能源职业技术学院,大数据与会计,,,
云南能源职业技术学院,市场营销,,,
云南能源职业技术学院,现代物流管理,,,
云南能源职业技术学院,冷链物流技术与管理,,,
云南能源职业技术学院,建筑室内设计,,,
云南能源职业技术学院,婴幼儿托育服务与管理,,,
云南能源职业技术学院,广告艺术设计,,,
云南能源职业技术学院,社区管理与服务,,,
云南能源职业技术学院,人力资源管理,,,
云南能源职业技术学院,现代文秘,,,
云南能源职业技术学院,信息安全技术应用,,,
云南能源职业技术学院,移动应用开发,,,
