2026云南省职教高考招生院校、专业及专业大类,,,
昆明艺术职业学院,国际标准舞,艺术类,80



昆明艺术职业学院,视觉传达设计,艺术类,80

昆明艺术职业学院,室内艺术设计,艺术类,80
昆明艺术职业学院,摄影与摄像艺术,艺术类,80
昆明艺术职业学院,摄影摄像技术,艺术类,80
昆明艺术职业学院,播音与主持,艺术类,80
昆明艺术职业学院,戏剧影视表演,艺术类,80
昆明艺术职业学院,影视编导,艺术类,80
昆明艺术职业学院,影视动画,艺术类,80
昆明艺术职业学院,艺术设计,艺术类,80






























塔里木职业技术学院,纺织品设计,艺术类,86
塔里木职业技术学院,服装设计与工艺,艺术类,86





















新疆生产建设兵团兴新职业技术学院,服装设计与工艺,艺术类,85















西南林业大学,视觉传达设计,艺术类,115


















大理大学,音乐学,艺术类,113
















德宏师范学院,艺术设计,艺术类,110
德宏师范学院,舞蹈表演,艺术类,109


德宏师范学院,工艺美术品设计,艺术类,109


滇西科技师范学院,美术学,艺术类,110
滇西科技师范学院,音乐学,艺术类,110
















滇西应用技术大学,工艺美术,艺术类,108
滇西应用技术大学,产品设计,艺术类,109




红河学院,舞蹈表演,艺术类,107
红河学院,舞蹈学,艺术类,106
红河学院,绘画,艺术类,105
红河学院,工艺美术,艺术类,106












































云南经济管理学院,视觉传达设计,艺术类,91














云南经济管理学院,舞蹈表演,艺术类,93

















云南工商学院,视觉传达设计,艺术类,95

















云南艺术学院,音乐表演(器乐),艺术类,115
云南艺术学院,音乐表演(声乐),艺术类,120
云南艺术学院,视觉传达设计,艺术类,125




昆明学院,舞蹈学,艺术类,112

































滇池学院,音乐表演,艺术类,96
滇池学院,舞蹈学,艺术类,97
滇池学院,绘画,艺术类,98
滇池学院,视觉传达设计,艺术类,99
滇池学院,环境设计,艺术类,100
滇池学院,产品设计,艺术类,96
滇池学院,服装与服饰设计,艺术类,96
滇池学院,数字媒体艺术,艺术类,96
滇池学院,艺术与科技,艺术类,96










昆明城市学院,视觉传达设计,艺术类,91

































丽江文化旅游学院,视觉传达设计,艺术类,93
丽江文化旅游学院,环境设计,艺术类,91










昭通学院,美术学,艺术类,105
昭通学院,音乐学,艺术类,110
