2026云南省职教高考招生院校、专业及专业大类,,,

云南医药健康职业学院,临床医学,医学类,101


云南医药健康职业学院,眼视光技术,医学类,101
云南医药健康职业学院,医学检验技术,医学类,101
云南医药健康职业学院,医学影像技术,医学类,101
云南医药健康职业学院,卫生检验与检疫技术,医学类,101
云南医药健康职业学院,医学影像技术,医学类,101
云南医药健康职业学院,卫生检验与检疫技术,医学类,101
云南医药健康职业学院,放射治疗技术,医学类,101



云南商务职业学院,医学检验技术,医学类,101
云南商务职业学院,医学影像技术,医学类,101
云南商务职业学院,康复治疗技术,医学类,101



云南商务职业学院,社区康复,医学类,101














































云南城市建设职业学院,动物医学,医学类,101
云南城市建设职业学院,口腔医学技术,医学类,101
云南城市建设职业学院,医学美容技术,医学类,101




























































云南工程职业学院,口腔医学技术,医学类,101


云南工程职业学院,医学影像技术,医学类,101

云南工程职业学院,康复治疗技术,医学类,101
























































































昆明卫生职业学院,康复治疗技术,医学类,101
昆明卫生职业学院,口腔医学,医学类,101
昆明卫生职业学院,口腔医学技术,医学类,101
昆明卫生职业学院,口腔卫生保健,医学类,101

昆明卫生职业学院,临床医学,医学类,101
昆明卫生职业学院,卫生检验与检疫技术,医学类,101


昆明卫生职业学院,医学检验技术,医学类,101
昆明卫生职业学院,医学美容技术,医学类,101
昆明卫生职业学院,医学影像技术,医学类,101

昆明卫生职业学院,预防医学,医学类,101


昆明卫生职业学院,针灸推拿,医学类,101
昆明卫生职业学院,中医康复技术,医学类,101
昆明卫生职业学院,中医骨伤,医学类,101











































































重庆城市管理职业学院,康复治疗技术,医学类,455
















大理大学,预防医学,医学类,535
大理大学,卫生检验与检疫,医学类,530




大理大学,智能医学工程,医学类,531













































滇西应用技术大学,中药学,医学类,530




















































云南经济管理学院,医学检验技术,医学类,480
云南经济管理学院,口腔医学技术,医学类,481













云南经济管理学院,医学检验技术,医学类,482
云南经济管理学院,口腔医学技术,医学类,479
云南经济管理学院,康复治疗技术,医学类,478











































