2026云南省职教高考招生院校、专业及专业大类,,,







































































































































院校,专业,专业大类,分数
临沧职业学院,畜牧兽医,农林养殖类,410









































香格里拉职业学院,畜牧兽医,农林养殖类,400



















































































































丽江职业技术学院,畜牧兽医,农林养殖类,420

























































































































































































文山职业技术学院,畜牧兽医,农林养殖类,420






昭通职业学院,畜牧兽医,农林养殖类,425




























玉溪农业职业技术学院,宠物医疗技术,农林养殖类,430
玉溪农业职业技术学院,动物防疫与检疫,农林养殖类,425
玉溪农业职业技术学院,水产养殖技术,农林养殖类,420
玉溪农业职业技术学院,畜牧兽医,农林养殖类,435






























































红河职业技术学院,畜牧兽医,农林养殖类,420





















西双版纳职业技术学院,畜牧兽医,农林养殖类,425
































云南农业职业技术学院,宠物养护与训导,农林养殖类,420

















云南农业职业技术学院,水产养殖技术,农林养殖类,435



























































































































云南机电职业技术学院,粮食工程技术与管理,农林养殖类,445

































































































































































































































大理农林职业技术学院,宠物养护与驯导,农林养殖类,435
大理农林职业技术学院,宠物医疗技术,农林养殖类,450
大理农林职业技术学院,畜牧兽医,农林养殖类,445














































































































































































































































































































































































































大理大学,动物科学,农林养殖类,485
