2026云南省职教高考招生院校、专业及专业大类,,,








院校,专业,专业大类,分数
普洱学院,酒店管理,旅游类,465
























































































丽江文化旅游学院,旅游管理,旅游类,435
丽江文化旅游学院,酒店管理,旅游类,440









丽江文化旅游学院,酒店管理与数字化运营,旅游类,445


丽江文化旅游学院,会展策划与管理,旅游类,435
