2026云南省职教高考招生院校、专业及专业大类,,,
云南商务职业学院,建筑消防技术,建筑工程类,101

云南商务职业学院,建筑室内设计,建筑工程类,101
云南商务职业学院,工程造价,建筑工程类,101
云南商务职业学院,建设工程管理,建筑工程类,101






云南城市建设职业学院,建筑室内设计,建筑工程类,101
云南城市建设职业学院,建筑工程技术,建筑工程类,101

云南城市建设职业学院,建筑设计,建筑工程类,101

云南城市建设职业学院,工程造价,建筑工程类,101
云南城市建设职业学院,城乡规划,建筑工程类,101

云南城市建设职业学院,建设工程管理,建筑工程类,101
云南城市建设职业学院,建筑消防技术,建筑工程类,101

云南城市建设职业学院,智能建造技术,建筑工程类,101

云南城市建设职业学院,建筑智能化工程技术,建筑工程类,101














































云南外事外语职业学院,工程造价,建筑工程类,101
云南外事外语职业学院,建筑室内设计,建筑工程类,101





云南外事外语职业学院,建设工程管理,建筑工程类,101





云南外事外语职业学院,建筑消防技术,建筑工程类,101








云南工程职业学院,建筑室内设计,建筑工程类,101





云南工程职业学院,建筑消防技术,建筑工程类,101
云南工程职业学院,建筑工程技术,建筑工程类,101
云南工程职业学院,工程造价,建筑工程类,101




云南理工职业学院,建筑室内设计,建筑工程类,101
云南理工职业学院,建筑工程技术,建筑工程类,101
云南理工职业学院,建筑消防技术,建筑工程类,101
云南理工职业学院,工程造价,建筑工程类,101





































云南科技信息职业学院,建筑室内设计,建筑工程类,101


云南科技信息职业学院,建设工程管理,建筑工程类,101
云南科技信息职业学院,工程造价,建筑工程类,101
云南科技信息职业学院,市政工程技术,建筑工程类,101
云南科技信息职业学院,城乡规划,建筑工程类,101
云南科技信息职业学院,建筑消防技术,建筑工程类,101











云南经贸外事职业学院,建筑工程技术,建筑工程类,101
云南经贸外事职业学院,工程造价,建筑工程类,101


















































昆明艺术职业学院,建筑室内设计,建筑工程类,101


















塔里木职业技术学院,建筑工程技术,建筑工程类,400
塔里木职业技术学院,工程造价,建筑工程类,410


















新疆生产建设兵团兴新职业技术学院,建筑工程技术,建筑工程类,410
新疆生产建设兵团兴新职业技术学院,道路与桥梁工程技术,建筑工程类,415
新疆生产建设兵团兴新职业技术学院,工程造价,建筑工程类,420



















































德宏师范学院,建设工程管理,建筑工程类,485

































滇西应用技术大学,土木工程,建筑工程类,480















保山学院,土木工程,建筑工程类,480












昆明理工大学津桥学院,土木工程,建筑工程类,475
昆明理工大学津桥学院,给排水科学与工程,建筑工程类,470
昆明理工大学津桥学院,工程造价,建筑工程类,465













云南经济管理学院,土木工程,建筑工程类,450
云南经济管理学院,工程造价,建筑工程类,445
云南经济管理学院,建筑智能检测与修复,建筑工程类,455














云南经济管理学院,工程造价,建筑工程类,450


















云南工商学院,建筑电气与智能化,建筑工程类,445

云南工商学院,土木工程,建筑工程类,440
云南工商学院,工程造价,建筑工程类,450
云南工商学院,工程管理,建筑工程类,455






























曲靖师范学院,工程管理,建筑工程类,480











滇池学院,土木工程,建筑工程类,460
滇池学院,建筑学,建筑工程类,455
滇池学院,城乡规划,建筑工程类,455
滇池学院,工程管理,建筑工程类,460
滇池学院,工程造价,建筑工程类,465
