2026云南省职教高考招生院校、专业及专业大类,,,










院校,专业,专业大类,分数
滇池学院,汉语言文学,教育类,485
滇池学院,汉语国际教育,教育类,480
滇池学院,新闻学,教育类,490
滇池学院,广播电视学,教育类,495
滇池学院,广告学,教育类,485
滇池学院,英语,教育类,480
滇池学院,数学与应用数学,教育类,480








滇池学院,法学,教育类,495













昆明城市学院,汉语言文学,教育类,472


昆明城市学院,学前教育,教育类,475
昆明城市学院,小学教育,教育类,480




昆明城市学院,中文,教育类,473

昆明城市学院,早期教育,教育类,475



















昆明医科大学海源学院,应用心理学,教育类,480
















丽江文化旅游学院,应用英语,教育类,473
