2026云南省职教高考招生院校、专业及专业大类,,,





院校,专业,专业大类,分数
云南国防工业职业技术学院,电子商务,经济管理类,390
云南国防工业职业技术学院,现代物流管理,经济管理类,395
云南国防工业职业技术学院,大数据与审计,经济管理类,400


















云南财经职业学院,财富管理,经济管理类,360
云南财经职业学院,资产评估与管理,经济管理类,360
云南财经职业学院,政府采购与管理,经济管理类,375

















昆明工业职业技术学院,电子商务,经济管理类,345















昆明工业职业技术学院,大数据与会计,经济管理类,350
昆明工业职业技术学院,统计与会计核算,经济管理类,345

昆明工业职业技术学院,网络营销与直播电商,经济管理类,350
昆明工业职业技术学院,市场营销,经济管理类,340
昆明工业职业技术学院,人力资源管理,经济管理类,345





昆明工业职业技术学院,现代物流管理,经济管理类,345



昆明工业职业技术学院,供应链运营,经济管理类,340








昆明幼儿师范高等专科学校,现代物流管理,经济管理类,375
昆明幼儿师范高等专科学校,大数据与财务管理,经济管理类,380
昆明幼儿师范高等专科学校,电子商务,经济管理类,375
昆明幼儿师范高等专科学校,商务数据分析与应用,经济管理类,370
昆明幼儿师范高等专科学校,中小企业创业与经营,经济管理类,370









昆明铁道职业技术学院,铁路物流管理,经济管理类,400
昆明铁道职业技术学院,智能物流技术,经济管理类,405









昆明铁道职业技术学院,电信服务与管理,经济管理类,410







云南司法警官职业学院,安全保卫管理,经济管理类,410
云南司法警官职业学院,法律事务,经济管理类,415
云南司法警官职业学院,社区矫正,经济管理类,416
云南司法警官职业学院,司法警务,经济管理类,420
云南司法警官职业学院,法律文秘,经济管理类,415

















大理农林职业技术学院,大数据与财务管理,经济管理类,365


大理农林职业技术学院,大数据与会计,经济管理类,360


大理农林职业技术学院,市场营销,经济管理类,355
















云南三鑫职业技术学院,大数据与财务管理,经济管理类,101
云南三鑫职业技术学院,大数据与会计,经济管理类,101
云南三鑫职业技术学院,电子商务,经济管理类,101











































云南商务职业学院,大数据与财务管理,经济管理类,101
云南商务职业学院,大数据与会计,经济管理类,101
云南商务职业学院,中小企业创业与经营,经济管理类,101
云南商务职业学院,跨境电子商务,经济管理类,101















云南商务职业学院,法律事务,经济管理类,101




云南商务职业学院,电子商务,经济管理类,101
云南商务职业学院,商务数据分析与应用,经济管理类,101
云南商务职业学院,现代物流管理,经济管理类,101


























云南城市建设职业学院,大数据与会计,经济管理类,101
云南城市建设职业学院,大数据与财务管理,经济管理类,101
云南城市建设职业学院,体育运营与管理,经济管理类,101
云南城市建设职业学院,中小企业创业与经营,经济管理类,101
云南城市建设职业学院,法律事务,经济管理类,101
云南城市建设职业学院,工商企业管理,经济管理类,101



云南城市建设职业学院,电子商务,经济管理类,101































云南外事外语职业学院,电子商务,经济管理类,101
云南外事外语职业学院,大数据与会计,经济管理类,101



云南外事外语职业学院,跨境电子商务,经济管理类,101















云南工程职业学院,大数据与会计,经济管理类,101



























云南理工职业学院,大数据与财务管理,经济管理类,101
云南理工职业学院,大数据与审计,经济管理类,101
云南理工职业学院,跨境电子商务,经济管理类,101



























云南科技信息职业学院,网络营销与直播电商,经济管理类,101
