2026云南省职教高考招生院校、专业及专业大类,,,
云南财经职业学院,会计信息管理,计算机信息类,415





云南财经职业学院,网络营销与直播电商,计算机信息类,390



云南财经职业学院,计算机应用技术,计算机信息类,395
云南财经职业学院,数字媒体技术,计算机信息类,400
云南财经职业学院,信息安全技术应用,计算机信息类,390
云南财经职业学院,大数据技术,计算机信息类,385
云南财经职业学院,区块链技术应用,计算机信息类,390










昆明工业职业技术学院,工业互联网应用,计算机信息类,395








昆明工业职业技术学院,计算机网络技术,计算机信息类,400
昆明工业职业技术学院,信息安全技术应用,计算机信息类,405


昆明工业职业技术学院,大数据技术,计算机信息类,410




























































昆明铁道职业技术学院,铁道通信与信息化技术,计算机信息类,450
昆明铁道职业技术学院,现代通信技术,计算机信息类,455
昆明铁道职业技术学院,智能互联网络技术,计算机信息类,460























大理农林职业技术学院,计算机网络技术,计算机信息类,385



大理农林职业技术学院,数字媒体技术,计算机信息类,380




































云南三鑫职业技术学院,融媒体技术与运营,计算机信息类,296






































云南商务职业学院,网络营销与直播电商,计算机信息类,296







云南商务职业学院,移动应用开发,计算机信息类,296
云南商务职业学院,人工智能数据工程技术,计算机信息类,296
云南商务职业学院,软件技术,计算机信息类,296












































云南城市建设职业学院,计算机应用技术,计算机信息类,296
云南城市建设职业学院,现代移动通信技术,计算机信息类,296
云南城市建设职业学院,大数据技术,计算机信息类,296






云南城市建设职业学院,网络营销与直播电商,计算机信息类,296
云南城市建设职业学院,人工智能技术应用,计算机信息类,296
云南城市建设职业学院,信息安全技术应用,计算机信息类,296





























云南外事外语职业学院,现代通信技术,计算机信息类,296








云南工程职业学院,计算机网络技术,计算机信息类,296




























云南理工职业学院,计算机网络技术,计算机信息类,296
云南理工职业学院,软件技术,计算机信息类,296
云南理工职业学院,大数据技术,计算机信息类,296
云南理工职业学院,信息安全技术应用,计算机信息类,296










云南科技信息职业学院,计算机应用技术,计算机信息类,296
云南科技信息职业学院,软件技术,计算机信息类,296
云南科技信息职业学院,计算机网络技术,计算机信息类,296
云南科技信息职业学院,电子信息工程技术,计算机信息类,296
云南科技信息职业学院,现代通信技术,计算机信息类,296


























云南科技信息职业学院,物联网应用技术,计算机信息类,296






云南经贸外事职业学院,计算机应用技术,计算机信息类,296
















































昆明艺术职业学院,物联网应用技术,计算机信息类,296














塔里木职业技术学院,数字媒体技术,计算机信息类,435























新疆生产建设兵团兴新职业技术学院,计算机网络技术,计算机信息类,430
新疆生产建设兵团兴新职业技术学院,数字媒体技术,计算机信息类,425
新疆生产建设兵团兴新职业技术学院,信息安全技术应用,计算机信息类,420












铁门关职业技术学院,数字媒体技术,计算机信息类,430






云南师范大学,广播电视编导,计算机信息类,510






云南民族大学,计算机科学与技术,计算机信息类,505








大理大学,计算机科学与技术,计算机信息类,500






































滇西科技师范学院,物联网工程,计算机信息类,495
滇西科技师范学院,数字媒体技术,计算机信息类,490




滇西科技师范学院,数据科学与大数据技术,计算机信息类,498



















楚雄师范学院,数字媒体技术,计算机信息类,490




昆明理工大学津桥学院,通信工程,计算机信息类,475
昆明理工大学津桥学院,电子信息科学与技术,计算机信息类,470
