2026云南省职教高考招生院校、专业及专业大类,,,

















































































































































































































































































































































院校,专业,专业大类,分数
云南能源职业技术学院,水电站运行与智能管理,水利水电类,310


























































































































































































































































































































































































































































































































云南水利水电职业学院,水利水电工程技术,水利水电类,365


云南水利水电职业学院,水利水电建筑工程,水利水电类,355
云南水利水电职业学院,水利工程,水利水电类,320
云南水利水电职业学院,智慧水利技术,水利水电类,350



云南水利水电职业学院,水电站运行与智能管理,水利水电类,330







云南水利水电职业学院,给排水工程技术,水利水电类,345







云南水利水电职业学院,智能水务管理,水利水电类,350
云南水利水电职业学院,水利水电工程智能管理,水利水电类,355


















































































































































大理农林职业技术学院,水利工程,水利水电类,290






































































































云南城市建设职业学院,水利水电建筑工程,水利水电类,121






















































云南外事外语职业学院,水利水电建筑工程,水利水电类,121





















云南工程职业学院,水利水电建筑工程,水利水电类,212















































































































































































































































滇西科技师范学院,能源与动力工程,水利水电类,410

















































昆明理工大学津桥学院,水利水电工程,水利水电类,380
昆明理工大学津桥学院,水务工程,水利水电类,375






云南经济管理学院,水利水电工程,水利水电类,380






























云南工商学院,水利水电工程,水利水电类,375
