2026云南省职教高考招生院校、专业及专业大类,,,








































































































































































































































院校,专业,专业大类,分数
云南交通运输职业学院,铁道通信与信息化技术,铁道运输类,280
云南交通运输职业学院,铁道车辆技术,铁道运输类,285
云南交通运输职业学院,铁道交通运营管理,铁道运输类,290








































































云南现代职业技术学院,高速铁路客运服务,铁道运输类,270




























































































云南锡业职业技术学院,高速铁路客运服务,铁道运输类,265




























































































































































































































































































































云南旅游职业学院,高速铁路客运服务,铁道运输类,275



























































































































































































































































昆明铁道职业技术学院,铁道工程技术,铁道运输类,320
昆明铁道职业技术学院,铁道供电技术,铁道运输类,317

昆明铁道职业技术学院,铁道交通运营管理,铁道运输类,315
昆明铁道职业技术学院,城市轨道交通运营管理,铁道运输类,310







昆明铁道职业技术学院,城市轨道交通机电技术,铁道运输类,315





































大理农林职业技术学院,高速铁路客运服务,铁道运输类,275





































































云南商务职业学院,高速铁路客运服务,铁道运输类,101












































































































云南工程职业学院,高速铁路客运服务,铁道运输类,101










































云南科技信息职业学院,高速铁路客运服务,铁道运输类,101



































云南经贸外事职业学院,高速铁路客运服务,铁道运输类,101











































昆明艺术职业学院,高速铁路客运服务,铁道运输类,101






































































































德宏师范学院,高速铁路客运服务,铁道运输类,325



















































































云南经济管理学院,高速铁路客运服务,铁道运输类,318
