2026云南省职教高考招生院校、专业及专业大类,,,



院校,专业,专业大类,分数
云南国防工业职业技术学院,电气自动化技术,电工技术类,405












云南国防工业职业技术学院,智能产品开发与应用,电工技术类,390

























































云南外事外语职业学院,光伏工程技术,电工技术类,175






云南工程职业学院,电气自动化技术,电工技术类,175
云南工程职业学院,机电一体化技术,电工技术类,175














云南工程职业学院,工业机器人技术,电工技术类,175

云南理工职业学院,光伏工程技术,电工技术类,175
云南理工职业学院,风力发电工程技术,电工技术类,175




























































































































昆明航空职业学院,无人机应用技术,电工技术类,175








塔里木职业技术学院,机电一体化技术,电工技术类,400
塔里木职业技术学院,工业机器人技术,电工技术类,405











塔里木职业技术学院,无人机应用技术,电工技术类,410














新疆生产建设兵团兴新职业技术学院,电气自动化技术,电工技术类,395






铁门关职业技术学院,机电一体化技术,电工技术类,425






















大理大学,电气工程及其自动化,电工技术类,485











德宏师范学院,电力系统自动化技术,电工技术类,475


























滇西科技师范学院,机器人工程,电工技术类,470




























昆明理工大学津桥学院,电气工程及其自动化,电工技术类,465
昆明理工大学津桥学院,自动化,电工技术类,460










































云南经济管理学院,电力系统自动化技术,电工技术类,450








云南工商学院,电气工程及其自动化,电工技术类,455






云南工商学院,机器人工程,电工技术类,450

云南工商学院,智能电网信息工程,电工技术类,447
