2026云南省职教高考招生院校、专业及专业大类,,,



院校,专业,专业大类,分数
云南商务职业学院,城市轨道交通运营管理,交通运输类,326
云南商务职业学院,汽车检测与维修技术,交通运输类,326
云南商务职业学院,新能源汽车检测与维修技术,交通运输类,326



















































云南城市建设职业学院,汽车检测与维修技术,交通运输类,326
云南城市建设职业学院,新能源汽车检测与维修技术,交通运输类,326
云南城市建设职业学院,城市轨道交通运营管理,交通运输类,326
云南城市建设职业学院,城市轨道交通工程技术,交通运输类,326
云南城市建设职业学院,民航安全技术管理,交通运输类,326










云南外事外语职业学院,空中乘务,交通运输类,326
云南外事外语职业学院,城市轨道交通运营管理,交通运输类,326












云南外事外语职业学院,新能源汽车检测与维修技术,交通运输类,326
云南外事外语职业学院,城市轨道交通工程技术,交通运输类,326












云南工程职业学院,新能源汽车技术,交通运输类,326



























云南理工职业学院,城市轨道车辆应用技术,交通运输类,326
云南理工职业学院,城市轨道交通机电技术,交通运输类,326
云南理工职业学院,城市轨道交通信号技术,交通运输类,326
云南理工职业学院,城市轨道交通运营管理,交通运输类,326




















云南科技信息职业学院,汽车技术服务与营销,交通运输类,326
云南科技信息职业学院,机场运行服务与管理,交通运输类,326
云南科技信息职业学院,民航运输服务,交通运输类,326





































云南经贸外事职业学院,新能源汽车技术,交通运输类,326







































昆明艺术职业学院,空中乘务,交通运输类,326

昆明艺术职业学院,飞行器维修技术,交通运输类,326
昆明艺术职业学院,机场运行服务与管理,交通运输类,326
昆明艺术职业学院,定翼机驾驶技术,交通运输类,326
昆明艺术职业学院,新能源汽车检测与维修技术,交通运输类,326
昆明艺术职业学院,通用航空航务技术,交通运输类,326
昆明航空职业学院,空中乘务,交通运输类,326
昆明航空职业学院,民航空中安全保卫,交通运输类,326
昆明航空职业学院,航空物流管理,交通运输类,326

昆明航空职业学院,飞机机电设备维修,交通运输类,326
昆明航空职业学院,飞机电子设备维修,交通运输类,326


塔里木职业技术学院,智能物流技术,交通运输类,425





塔里木职业技术学院,汽车检测与维修技术,交通运输类,430








塔里木职业技术学院,空中乘务,交通运输类,420
塔里木职业技术学院,通用航空器维修,交通运输类,435

塔里木职业技术学院,机场运行服务与管理,交通运输类,420















新疆生产建设兵团兴新职业技术学院,汽车检测与维修技术,交通运输类,435










































德宏师范学院,民航运输服务,交通运输类,485





























滇西科技师范学院,轨道交通信号与控制,交通运输类,480


































昆明理工大学津桥学院,交通运输,交通运输类,464
