2026云南省职教高考招生院校、专业及专业大类,,,













云南科技信息职业学院,园林工程技术,农林种植类,131





























































































塔里木职业技术学院,现代农业装备应用技术,农林种植类,435

























新疆生产建设兵团兴新职业技术学院,现代农业技术,农林种植类,430






































































滇西科技师范学院,茶学,农林种植类,485
























楚雄师范学院,园艺,农林种植类,480


















































































普洱学院,茶学,农林种植类,485
普洱学院,农学,农林种植类,475
普洱学院,园林,农林种植类,471








昆明学院,园艺,农林种植类,480
